Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","1999","1999","7021","Annual value","","52","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","1999","1999","7021","Annual value","","52","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","1999","1999","7021","Annual value","","59","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","2000","2000","7021","Annual value","","49","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2000","2000","7021","Annual value","","55","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","2000","2000","7021","Annual value","","64","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","2000","2000","7021","Annual value","","59","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","2001","2001","7021","Annual value","","49","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2001","2001","7021","Annual value","","65","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","2001","2001","7021","Annual value","","90","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","2001","2001","7021","Annual value","","72","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","2002","2002","7021","Annual value","","51","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2002","2002","7021","Annual value","","60","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","2002","2002","7021","Annual value","","74","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","2002","2002","7021","Annual value","","69","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","2003","2003","7021","Annual value","","50","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2003","2003","7021","Annual value","","59","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","2003","2003","7021","Annual value","","62","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","2003","2003","7021","Annual value","","71","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","2004","2004","7021","Annual value","","55","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2004","2004","7021","Annual value","","62","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","2004","2004","7021","Annual value","","71","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","2004","2004","7021","Annual value","","71","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","2005","2005","7021","Annual value","","66","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2005","2005","7021","Annual value","","58","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","2005","2005","7021","Annual value","","74","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","2005","2005","7021","Annual value","","77","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","2006","2006","7021","Annual value","","75","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2006","2006","7021","Annual value","","58","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","2006","2006","7021","Annual value","","79","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","2006","2006","7021","Annual value","","79","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","2007","2007","7021","Annual value","","69","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2007","2007","7021","Annual value","","67","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","2007","2007","7021","Annual value","","70","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","2007","2007","7021","Annual value","","73","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","2008","2008","7021","Annual value","","73","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2008","2008","7021","Annual value","","80","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","2008","2008","7021","Annual value","","82","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","2008","2008","7021","Annual value","","73","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","2009","2009","7021","Annual value","","79","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2009","2009","7021","Annual value","","74","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","2009","2009","7021","Annual value","","85","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","2009","2009","7021","Annual value","","81","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","2010","2010","7021","Annual value","","85","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2010","2010","7021","Annual value","","73","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","2010","2010","7021","Annual value","","80","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","2010","2010","7021","Annual value","","82","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","2011","2011","7021","Annual value","","124","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2011","2011","7021","Annual value","","86","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","2011","2011","7021","Annual value","","89","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","2011","2011","7021","Annual value","","95","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","2012","2012","7021","Annual value","","127","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2012","2012","7021","Annual value","","93","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","2012","2012","7021","Annual value","","104","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","2012","2012","7021","Annual value","","97","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","2013","2013","7021","Annual value","","101","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2013","2013","7021","Annual value","","100","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","2013","2013","7021","Annual value","","108","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","2013","2013","7021","Annual value","","93","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","2014","2014","7021","Annual value","","97","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2014","2014","7021","Annual value","","109","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","2014","2014","7021","Annual value","","104","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","2014","2014","7021","Annual value","","97","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","2015","2015","7021","Annual value","","97","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2015","2015","7021","Annual value","","105","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","2015","2015","7021","Annual value","","93","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","2015","2015","7021","Annual value","","94","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","2016","2016","7021","Annual value","","106","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2016","2016","7021","Annual value","","86","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","2016","2016","7021","Annual value","","103","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","2016","2016","7021","Annual value","","109","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","2017","2017","7021","Annual value","","127","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2017","2017","7021","Annual value","","85","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","2017","2017","7021","Annual value","","133","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","2017","2017","7021","Annual value","","121","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","2018","2018","7021","Annual value","","132","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2018","2018","7021","Annual value","","87","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","2018","2018","7021","Annual value","","144","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","2018","2018","7021","Annual value","","123","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","2019","2019","7021","Annual value","","131","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2019","2019","7021","Annual value","","87","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","2019","2019","7021","Annual value","","142","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","2019","2019","7021","Annual value","","128","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","1995","1995","7021","Annual value","","78","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","1995","1995","7021","Annual value","","75","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","1995","1995","7021","Annual value","","59","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","1995","1995","7021","Annual value","","59","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","1996","1996","7021","Annual value","","67","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","1996","1996","7021","Annual value","","77","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","1996","1996","7021","Annual value","","82","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","1996","1996","7021","Annual value","","69","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","1997","1997","7021","Annual value","","65","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","1997","1997","7021","Annual value","","78","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","1997","1997","7021","Annual value","","63","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","1997","1997","7021","Annual value","","75","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","1998","1998","7021","Annual value","","61","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","1998","1998","7021","Annual value","","75","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","1998","1998","7021","Annual value","","43","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","1998","1998","7021","Annual value","","58","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","1999","1999","7021","Annual value","","59","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","1999","1999","7021","Annual value","","77","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","1999","1999","7021","Annual value","","40","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","1999","1999","7021","Annual value","","55","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","2000","2000","7021","Annual value","","72","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2000","2000","7021","Annual value","","77","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","2000","2000","7021","Annual value","","59","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","2000","2000","7021","Annual value","","62","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","2001","2001","7021","Annual value","","73","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2001","2001","7021","Annual value","","80","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","2001","2001","7021","Annual value","","62","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","2001","2001","7021","Annual value","","87","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","2002","2002","7021","Annual value","","71","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2002","2002","7021","Annual value","","80","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","2002","2002","7021","Annual value","","61","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","2002","2002","7021","Annual value","","78","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","2003","2003","7021","Annual value","","68","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2003","2003","7021","Annual value","","81","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","2003","2003","7021","Annual value","","72","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","2003","2003","7021","Annual value","","75","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","2004","2004","7021","Annual value","","72","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2004","2004","7021","Annual value","","87","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","2004","2004","7021","Annual value","","79","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","2004","2004","7021","Annual value","","74","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","2005","2005","7021","Annual value","","65","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2005","2005","7021","Annual value","","85","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","2005","2005","7021","Annual value","","87","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","2005","2005","7021","Annual value","","69","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","2006","2006","7021","Annual value","","68","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2006","2006","7021","Annual value","","81","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","2006","2006","7021","Annual value","","93","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","2006","2006","7021","Annual value","","71","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","2007","2007","7021","Annual value","","67","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2007","2007","7021","Annual value","","83","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","2007","2007","7021","Annual value","","87","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","2007","2007","7021","Annual value","","75","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","2008","2008","7021","Annual value","","75","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2008","2008","7021","Annual value","","90","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","2008","2008","7021","Annual value","","95","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","2008","2008","7021","Annual value","","76","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","2009","2009","7021","Annual value","","67","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2009","2009","7021","Annual value","","90","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","2009","2009","7021","Annual value","","86","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","2009","2009","7021","Annual value","","78","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","2010","2010","7021","Annual value","","73","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2010","2010","7021","Annual value","","91","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","2010","2010","7021","Annual value","","86","Im","FAO data based on imputation methodology"
"PP","Producer Prices","104","Ireland","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","2010","2010","7021","Annual value","","93","Im","FAO data based on imputation methodology"
